case,mode,salt_type,fertile_mol_pct,mouth_total,mouth_sub0.8MeV,mouth_gt10MeV,1m_total,1m_sub0.8MeV,1m_gt10MeV,U235_capture_xs_per_cm,U235_fission_xs_per_cm,U238_capture_xs_per_cm,U238_fission_xs_per_cm,U_capture_xs_per_cm,U_fission_xs_per_cm,U235_capture_xs_unc_per_cm,U235_fission_xs_unc_per_cm,U238_capture_xs_unc_per_cm,U238_fission_xs_unc_per_cm,U_capture_xs_unc_per_cm,U_fission_xs_unc_per_cm
collimated_FLiBe_0.5molUF4_30cm,collimated,FLiBe,0.5,2.373608e+05,3.166010e+04,1.785170e+05,3.583212e+06,4.420895e+05,2.650675e+06,3.150523e-08,8.632061e-07,2.394963e-06,5.590466e-05,2.426468e-06,5.676787e-05,2.673137e-09,7.305444e-09,1.983862e-07,4.634115e-07,1.984042e-07,4.634691e-07
collimated_FLiBe_5.0molUF4_30cm,collimated,FLiBe,5.0,2.373944e+05,3.166965e+04,1.785170e+05,3.577621e+06,4.393567e+05,2.650279e+06,3.083626e-07,8.558955e-06,2.265491e-05,5.491123e-04,2.296327e-05,5.576712e-04,1.211737e-08,6.865928e-08,8.463553e-07,4.550858e-06,8.464421e-07,4.551376e-06
collimated_FLiBe_10.0molUF4_30cm,collimated,FLiBe,10.0,2.374810e+05,3.170815e+04,1.785170e+05,3.572657e+06,4.367961e+05,2.650255e+06,6.497208e-07,1.703071e-05,4.631248e-05,1.078827e-03,4.696220e-05,1.095858e-03,2.548539e-08,1.389025e-07,1.139484e-06,9.018066e-06,1.139769e-06,9.019136e-06
collimated_ClLiF_0.5molUCl3_30cm,collimated,ClLiF,0.5,2.379368e+05,3.202654e+04,1.785170e+05,3.605319e+06,4.498945e+05,2.652536e+06,5.332799e-08,2.242369e-06,4.533979e-06,1.505459e-04,4.587307e-06,1.527882e-04,3.520574e-09,2.143781e-08,4.934106e-07,1.430648e-06,4.934231e-07,1.430808e-06
collimated_ClLiF_5.0molUCl3_30cm,collimated,ClLiF,5.0,2.379808e+05,3.199847e+04,1.785170e+05,3.593271e+06,4.450736e+05,2.652236e+06,4.980076e-07,1.984874e-05,4.139961e-05,1.307360e-03,4.189762e-05,1.327208e-03,2.564337e-08,1.855483e-07,1.873638e-06,1.227533e-05,1.873813e-06,1.227673e-05
collimated_ClLiF_10.0molUCl3_30cm,collimated,ClLiF,10.0,2.379489e+05,3.201458e+04,1.785170e+05,3.581381e+06,4.388041e+05,2.652128e+06,9.305977e-07,3.512417e-05,7.629214e-05,2.276239e-03,7.722274e-05,2.311363e-03,3.088309e-08,3.198725e-07,1.547775e-06,2.186228e-05,1.548084e-06,2.186462e-05
collimated_air_background_30cm,collimated,air,0.0,2.382000e+05,3.239930e+04,1.785170e+05,3.694044e+06,4.705981e+05,2.658036e+06,,,,,,,,,,,,
moderated_FLiBe_0.5molUF4_30cm,moderated,FLiBe,0.5,5.902230e+04,5.353195e+04,6.885199e+02,1.180580e+07,1.053272e+07,2.168517e+05,6.243786e-07,1.653764e-06,1.179109e-04,2.569010e-06,1.185352e-04,4.222774e-06,3.284243e-08,5.836607e-08,2.961637e-05,1.844309e-07,2.961639e-05,1.934460e-07
moderated_FLiBe_5.0molUF4_30cm,moderated,FLiBe,5.0,5.902230e+04,5.353195e+04,6.885199e+02,1.180565e+07,1.053271e+07,2.168517e+05,5.955923e-06,1.619745e-05,5.109122e-04,2.557277e-05,5.168682e-04,4.177022e-05,3.060291e-07,5.470189e-07,6.728433e-05,1.797408e-06,6.728503e-05,1.878804e-06
moderated_FLiBe_10.0molUF4_30cm,moderated,FLiBe,10.0,5.902230e+04,5.353195e+04,6.885199e+02,1.180525e+07,1.053234e+07,2.168517e+05,1.181735e-05,3.187901e-05,8.168638e-04,5.024381e-05,8.286811e-04,8.212282e-05,6.157628e-07,1.068924e-06,8.584109e-05,3.512817e-06,8.584330e-05,3.671850e-06
moderated_ClLiF_0.5molUCl3_30cm,moderated,ClLiF,0.5,5.847696e+04,5.288903e+04,6.885199e+02,1.181353e+07,1.053951e+07,2.168637e+05,1.268839e-06,3.473162e-06,1.378884e-04,6.068524e-06,1.391572e-04,9.541686e-06,8.136910e-08,1.232968e-07,2.485368e-05,4.562695e-07,2.485381e-05,4.726351e-07
moderated_ClLiF_5.0molUCl3_30cm,moderated,ClLiF,5.0,5.847696e+04,5.288903e+04,6.885199e+02,1.181351e+07,1.053966e+07,2.168757e+05,1.090221e-05,3.053986e-05,6.592120e-04,5.315323e-05,6.701142e-04,8.369309e-05,5.915946e-07,9.405475e-07,7.054217e-05,3.978287e-06,7.054465e-05,4.087958e-06
moderated_ClLiF_10.0molUCl3_30cm,moderated,ClLiF,10.0,5.847696e+04,5.288903e+04,6.885199e+02,1.181327e+07,1.053957e+07,2.168637e+05,1.950892e-05,5.481215e-05,9.853021e-04,9.656082e-05,1.004811e-03,1.513730e-04,1.049627e-06,1.683642e-06,8.321894e-05,7.212845e-06,8.322556e-05,7.406739e-06
moderated_air_background_30cm,moderated,air,0.0,5.863981e+04,5.317829e+04,6.885199e+02,1.184751e+07,1.057218e+07,2.168757e+05,,,,,,,,,,,,
